,Links
123,https://citycenter.jo/computer-hardware/components-hard-drive/hard-drive-desktop-hdd/wd-10tb-red-plus-nas-3-5-hard-drive-64mb-cache
124,https://citycenter.jo/computer-hardware/components-hard-drive/hard-drive-notebook-hdd/western-digital-scorpio-blue-1tb
125,https://citycenter.jo/gaming/gaming-power-supply/asus-rog-strix-750-fully-modular-80-gold-750w-0db-axial-tech-fan
126,https://citycenter.jo/gaming/gaming-peripherals/printer-scanner/multifunction-printer/epson-ecotank-l6190-3-in-1-office-ink-tank-printer-a4-colour-printer-w-adf-wi-fi-color-lcd-screen-up-to-33ppm-15ppm-black
127,https://citycenter.jo/computer-hardware/components-video-card/msi-geforce-rtx-5060-gaming-trio-oc-8gb-gddr7-128-bit-memory-2625-mhz-boost-clock-28-gbps-memory-speed-3840-cuda-cores-pci-express-gen-5-x16
128,https://citycenter.jo/pc-and-laptops/pc-and-laptops-laptops/lightweight-laptop?page=1
129,https://citycenter.jo/computer-hardware/deepcool-le360-v2-liquid-cpu-cooler-360mm-radiator-3x-120mm-pre-installed-argb-fan-2100-rpm-fan-speed-75-89-cfm-fan-airflow-hydro-bearing-type-anti-leak-technology-white
130,https://citycenter.jo/gaming/gaming-cpu-and-processor/processors-desktops/amd-ryzen-7-3800xt-8-core-3-9-ghz-4-7-ghz-max-boost
131,https://citycenter.jo/pc-and-laptops/laptop-accessories-laptop-and-desktop/numeric-keypad
132,https://citycenter.jo/gaming/gaming-peripherals/power-protection-upss/promate-torq-10-power-bank-universal-10000mah-ultra-slim-20w-usb-c-port-qc-3-0-18w-port-built-in-kickstand-lcd-screen-over-heating-protection
133,https://citycenter.jo/computer-hardware/computer-hardware-monitor-and-display/v2com-s2-14-ips-full-hd-triple-screen-extender-portable-monitor-for-laptops-max-16-with-hdmi-usb-a-type-c-port-built-in-speakes
134,https://citycenter.jo/computer-hardware-storage/ssds-solid-state-drive/samsung-t5-evo-2tb-portable-external-ssd-usb-3-2-gen-1-seq-read-speeds-up-to-460mb-s-for-gaming-content-creation-black
135,https://citycenter.jo/gaming/gaming-cases/tp-link-tapo-l920-5-smart-wi-fi-light-strip-multicolor-5-meter-voice-control-flexible-installation
136,https://citycenter.jo/computer-hardware/components-memory-ram/kingston-valueram-16gb-5600mhz-ddr5-non-ecc-cl40-sodimm-laptop-memory
137,https://citycenter.jo/gaming/gaming-peripherals/power-protection-upss/ups?page=3
138,https://citycenter.jo/computer-hardware/deepcool-gamerstorm-pf600x-80-plus-bronze-600w-non-modular-atx12v-long-life-120mm-fan-sleeved-cables-premium-electrolytic-capacitors-black
139,https://citycenter.jo/computer-hardware-storage/storage-memory-card/kingston-sdcs-128gb-canvas-select-128gb-class-10
140,https://citycenter.jo/computer-hardware-peripherals/peripherals-cable/cable-hdmi?page=3
141,https://citycenter.jo/gaming/gaming-peripherals/cable?page=11
142,https://citycenter.jo/computer-hardware/computer-hardware-monitor-and-display?page=6
143,https://citycenter.jo/electronics/office-products/fellowes-powershred-lx50-9-sheet-cross-cut-level-p-4-security-grade-4-4-gallon-bin-paper-shredder
144,https://citycenter.jo/gaming/gaming-gaming-pcs/custom-gaming-pcs/intel-power-system/cc-power-5060ti-101-gaming-pc-new-13gen-intel-core-i5-10-cores-w-nvidia-rtx-5060-ti-8gb-ddr6-advanced-air-cooler
145,https://citycenter.jo/gaming/graphic-card-gaming/desktop-graphics-cards/asus-dual-geforce-rtx-4070-ti-super-oc-edition-16gb-gddr6x-dlss-3-axial-tech-fan-design-0db-technology-auto-extreme-technology
146,https://citycenter.jo/gaming/gaming-peripherals/printer-scanner/inkjet-printer/hp-deskjet-plus-6075-ink-advantage-all-in-one-wireless-printer
147,https://citycenter.jo/electronics/computer-hardware-projector-and-screen/accessories/ek-hd-petg-tube-12-16mm-500mm-2pcs
148,https://citycenter.jo/gaming/gaming-storage-drive/ssds/internal-ssds/kingston-kc2500-2tb-m-2-pci-express-nvme-3-0-x4
149,https://citycenter.jo/peripherals-printer-and-scanner?page=11
150,https://citycenter.jo/computer-hardware/components-case-and-chassis/deepcool-quadstellar-infinity-atx-aluminum-cutting-edge-style-rgb-led-strips-gaming-case
151,https://citycenter.jo/gaming/gaming-storage-drive/hard-drives/desktop-external-hdds/synology-beestation-8tb-personal-cloud-nas-storage-server-ai-powered-store-sync-access-and-share-files-from-anywhere-easy-setup-network-data-backup-device-usb-c
152,https://citycenter.jo/computer-hardware-peripherals/peripherals-combo/hp-150-wired-keyboard-mouse-combo-usb-12-shortcut-keys-6-adjustable-slope-keyboard-1600-dpi-optical-sensor-mouse
153,https://citycenter.jo/pc-and-laptops/pc-and-laptops-desktops/home-business-desktop/dell-optiplex-tower-7010-2023-13gen-intel-core-i5-10-cores-business-class-desktop-customized-black
154,https://citycenter.jo/computer-hardware-storage/storage-memory-card/kingston-32gb-sdxc-canvas-react-plus-300mb-s-read-uhs-ii-c10-u3-v90-memory-card-w-mlp-sd-reader
155,https://citycenter.jo/gaming/gaming-peripherals/glorious-elements-mousepad-xl-mouse-pad-foam-core-hybrid-cloth-computer-desk-pad-for-speed-gaming-430x380x4mm-fire
156,https://citycenter.jo/gaming/gaming-peripherals/keyboard/wired/razer-blackwidow-v4-mechanical-6-dedicated-macro-keys-magnetic-wrist-rest-doubleshot-abs-keycaps-yellow-switches-black
157,https://citycenter.jo/gaming/gaming-gaming-pcs/custom-gaming-pcs/cc-power-9070xt-115-gaming-pc-14gen-intel-core-i5-k-series-14-cores-w-w-amd-radeon-rx-9070-xt-16gb-ddr6-liquid-cooler
158,https://citycenter.jo/computer-hardware-storage/internal-external-hdds/seagate-backup-plus-hub-6tb-external-desktop-hdd
159,https://citycenter.jo/computer-hardware-peripherals/peripherals-cable/usb-c/anker-544-usb-c-to-usb-c-cable-240w-bio-nylon-charging-type-c-fast-charger-cable-for-macbook-ipad-1m-black
